,Gene,ensemble
1,AICDA ,ENSG00000111732
2,BACH2 ,ENSG00000112182
3,BATF,ENSG00000156127
4,BCL11A,ENSG00000119866
5,BCL6,ENSG00000113916
6,PRDM1,ENSG00000057657
7,KIT,ENSG00000157404
8,MYC,ENSG00000136997
9,CCND3 ,ENSG00000112576
10,CCR6,ENSG00000112486
11,CCR7,ENSG00000126353
12,MME,ENSG00000196549
13,CD19,ENSG00000177455
14,MS4A1,ENSG00000156738
15,CR2,ENSG00000117322
16,CD24,ENSG00000272398
17,CD27,ENSG00000139193
18,CD34,ENSG00000174059
19,CD38,ENSG00000004468
20,CD40,ENSG00000101017
21,CD79B,ENSG00000007312
22,CEBPZ,ENSG00000115816
23,CXCR4,ENSG00000121966
24,CXCR5,ENSG00000160683
25,ACKR3,ENSG00000144476
26,TCF3,ENSG00000071564
27,EBF1,ENSG00000164330
28,ELF2,ENSG00000109381
29,ETV6,ENSG00000139083
30,EZH2,ENSG00000106462
31,FLT3,ENSG00000122025
32,FOXO1 ,"
ENSG00000150907"
33,SLC1A2,ENSG00000110436
34,HMGA1 ,ENSG00000137309
35,ICOS,ENSG00000163600
36,IGLL1,ENSG00000128322
37,IKZF1,ENSG00000185811
38,IKZF3,ENSG00000161405
39,IL-7R,ENSG00000168685
40,IRF1,ENSG00000125347
41,IRF4,ENSG00000137265
42,IRF8,ENSG00000140968
43,IRF9,ENSG00000213928
44,KLF13,ENSG00000169926
45,KLF2,ENSG00000127528
46,KLF6,ENSG00000067082
47,LEF1,ENSG00000138795
48,LIG4,ENSG00000174405
49,LMO2,ENSG00000135363
50,MEF2B,ENSG00000213999
51,MEF2C ,ENSG00000081189
52,MSH2,ENSG00000095002
53,NFKB1,ENSG00000109320
54,NFKB2,ENSG00000077150
55,POU2AF1 ,ENSG00000110777
56,POU2F2 ,ENSG00000028277
57,PAX5,ENSG00000196092
58,PKNOX1,ENSG00000160199
59,POLH,ENSG00000170734
60,POU2F1,ENSG00000143190
61,SPI1,ENSG00000066336
62,RAG1,ENSG00000166349
63,RAG2,ENSG00000175097
64,REST,ENSG00000084093
65,RUNX1,ENSG00000159216
66,RUNX3,ENSG00000020633
67,SOX4,ENSG00000124766
68,SPIB,ENSG00000269404
69,SPINK2,ENSG00000128040
70,STAT1,ENSG00000115415
71,STAT3,ENSG00000168610
72,TCF3,ENSG00000071564
73,TCL1A,ENSG00000100721
74,DNTT ,ENSG00000107447
75,TP53,ENSG00000141510
76,UNG,ENSG00000076248
77,XBP1,ENSG00000100219
78,YY1 ,ENSG00000100811
79,ZBTB20,ENSG00000181722
80,ZBTB32,ENSG00000011590
